zoning_building_id,zoning_id,building_type_id,zoning_name,building_type_name,can_develop,conditional_use,cost_in_city,cost_in_ugb,cost_outside_ugb,probability,cost_notes,max_building_area,notes
0,1,1110,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Single-family Detached,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,Subject to locational standards in Section 12.b.
1,1,2111,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Mixed Use - Retail + Residential - Small Building,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,Subject to standards of Section 12 
2,1,2112,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Mixed Use - Retail + Residential - Large Building,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,Subject to standards of Section 12 
3,1,2121,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Mixed Use - Office + Residential - Small Building,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,Subject to standards of Section 12 
4,1,2122,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Mixed Use - Office + Residential - Large Building,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,Subject to standards of Section 12 
5,1,2131,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Mixed Use - Services + Residential - Small Building,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,Subject to standards of Section 12 
6,1,2132,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Mixed Use - Services + Residential - Large Building,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,Subject to standards of Section 12 
7,1,3100,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Hotel,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,"Club, lodges, fraternities and similar uses "
8,1,3200,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Resort,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,"Club, lodges, fraternities and similar uses "
9,1,4220,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Eating and Drinking,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",10000.0,"Drinking establishments, not including restaurants and alcohol beverage sales, are conditional "
10,1,4230,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Neighborhood Retail,True,False,3900.0,-99999.99,-99999.99,1,Site Review,10000.0,
11,1,4240,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Strip Shopping Mall,True,False,3900.0,-99999.99,-99999.99,1,Site Review,10000.0,
12,1,4250,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Shopping Mall,True,False,3900.0,-99999.99,-99999.99,1,Site Review,10000.0,
13,1,4260,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Big Box Retail,True,False,3900.0,-99999.99,-99999.99,1,Site Review,10000.0,
14,1,4290,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Misc. Retail,True,False,3900.0,-99999.99,-99999.99,1,Site Review,10000.0,
15,1,4300,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Services,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
16,1,4310,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Financial Services,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
17,1,5100,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Light Industrial / Warehousing,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,"Small-scale manufacturing or processing, provided that the front 25 feet of the building's ground floor facing the principal commercial street shall be used for commercial uses or business or professional offices. "
18,1,6210,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Medical Lab,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,
19,1,6220,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Clinic,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,
20,1,6500,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Cultural / Civic / Recreation,True,True,7100.0,-99999.99,-99999.99,1,"Conditional Use Permit, Site Review",,Amusement establishments conditional; places of worship conditional; Farmers' Market conditional 
21,1,6600,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Government,True,False,3900.0,-99999.99,-99999.99,1,Site Review,,
22,1,8000,COB -- CENTRAL BUSINESS DISTRICT -- C-1,Agriculture / Timber / Mining,False,False,-99999.99,-99999.99,-99999.99,0,,,No new agricultural uses; code silent on timber/mining
23,2,1110,COB -- HWY COMMERCIAL DISTRICT -- C-2,Single-family Detached,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to locational standards in Section 12.b.
24,2,2111,COB -- HWY COMMERCIAL DISTRICT -- C-2,Mixed Use - Retail + Residential - Small Building,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
25,2,2112,COB -- HWY COMMERCIAL DISTRICT -- C-2,Mixed Use - Retail + Residential - Large Building,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
26,2,2121,COB -- HWY COMMERCIAL DISTRICT -- C-2,Mixed Use - Office + Residential - Small Building,True,True,7100.0,-99999.99,-99999.99,1,Conditional Use Permit,,Subject to standards of Section 12 
