plan_zone_id,plan_id,plan_designation_name,zoning_id,zoning_name,cost_in_city,cost_in_ugb,cost_outside_ugb,probability,cost_notes
0,1.0,COB -- CENTRAL BUSINESS DISTRICT -- B,1.0,COB -- CENTRAL BUSINESS DISTRICT -- C-1,3000.0,3000.0,-99999.99,1.0,zone change
1,2.0,COB -- HWY COMMERCIAL -- C,2.0,COB -- HWY COMMERCIAL DISTRICT -- C-2,3000.0,3000.0,-99999.99,1.0,zone change
2,3.0,COB -- LIGHT INDUSTRIAL -- I,3.0,COB -- LIGHT INDUSTRIAL DISTRICT -- LI,3000.0,3000.0,-99999.99,1.0,zone change
3,4.0,COB -- PARK/RECREATION -- P,4.0,COB -- PARK/RECREATION/OPEN SPACE DISTRICT -- PRO,3000.0,3000.0,-99999.99,1.0,zone change
4,5.0,COB -- PUBLIC FACILITY -- W,7.0,COB -- PUBLIC FACILITY -- W,3000.0,3000.0,-99999.99,1.0,zone change
5,6.0,COB -- TRADITIONAL RESIDENTIAL -- L,5.0,COB -- TRADITIONAL MED DENSITY RESIDENTIAL -- TMR,3000.0,3000.0,-99999.99,1.0,zone change
6,6.0,COB -- TRADITIONAL RESIDENTIAL -- L,6.0,COB -- TRADITIONAL RESIDENTIAL -- TR,3000.0,3000.0,-99999.99,1.0,zone change
7,7.0,MP EUG -- Campus Industrial -- O,13.0,EUG -- CAMPUS INDUSTRIAL -- I-1,3983.95,5913.25,-99999.99,1.0,zone change
8,7.0,MP EUG -- Campus Industrial -- O,9.0,EUG -- NEIGHBORHOOD COMMERCIAL -- C-1,3983.95,5913.25,-99999.99,1.0,zone change
9,7.0,MP EUG -- Campus Industrial -- O,11.0,EUG -- COMMERCIAL/INDUSTRIAL -- C-4,3983.95,5913.25,-99999.99,1.0,zone change
10,8.0,MP EUG -- Commercial -- C,9.0,EUG -- NEIGHBORHOOD COMMERCIAL -- C-1,3983.95,5913.25,-99999.99,1.0,zone change
11,8.0,MP EUG -- Commercial -- C,10.0,EUG -- COMMUNITY COMMERCIAL -- C-2,3983.95,5913.25,-99999.99,1.0,zone change
