old_plan_id_x100,plan_designation_name,plan,plan_label,plan_designation,plan_designation_code
200.0,COB -- CENTRAL BUSINESS DISTRICT -- B,COB,Coburg Comprehensive Plan,CENTRAL BUSINESS DISTRICT,B
300.0,COB -- HWY COMMERCIAL -- C,COB,Coburg Comprehensive Plan,HWY COMMERCIAL,C
400.0,COB -- LIGHT INDUSTRIAL -- I,COB,Coburg Comprehensive Plan,LIGHT INDUSTRIAL,I
500.0,COB -- PARK/RECREATION -- P,COB,Coburg Comprehensive Plan,PARK/RECREATION,P
600.0,COB -- PUBLIC FACILITY -- W,COB,Coburg Comprehensive Plan,PUBLIC FACILITY,W
800.0,COB -- TRADITIONAL RESIDENTIAL -- L,COB,Coburg Comprehensive Plan,TRADITIONAL RESIDENTIAL,L
1000.0,MP EUG -- Campus Industrial -- O,MP EUG,Metro Plan (Eugene),Campus Industrial,O
1100.0,MP EUG -- Commercial -- C,MP EUG,Metro Plan (Eugene),Commercial,C
1200.0,MP EUG -- Commercial Mixed Use -- D,MP EUG,Metro Plan (Eugene),Commercial Mixed Use,D
1400.0,MP EUG -- Government & Education -- E & X,MP EUG,Metro Plan (Eugene),Government & Education,E & X
1600.0,MP EUG -- Heavy Industrial -- Z,MP EUG,Metro Plan (Eugene),Heavy Industrial,Z
1700.0,MP EUG -- High Density Res Mixed Use -- S,MP EUG,Metro Plan (Eugene),High Density Res Mixed Use,S
1800.0,MP EUG -- High Density Residential -- H,MP EUG,Metro Plan (Eugene),High Density Residential,H
1900.0,MP EUG -- Light Medium Industrial -- I,MP EUG,Metro Plan (Eugene),Light Medium Industrial,I
2000.0,MP EUG -- Low Density Residential -- L,MP EUG,Metro Plan (Eugene),Low Density Residential,L
2100.0,MP EUG -- Major Retail Center -- K,MP EUG,Metro Plan (Eugene),Major Retail Center,K
2200.0,MP EUG -- Medium Density Res Mixed Use -- U,MP EUG,Metro Plan (Eugene),Medium Density Res Mixed Use,U
2300.0,MP EUG -- Medium Density Residential -- M,MP EUG,Metro Plan (Eugene),Medium Density Residential,M
2400.0,MP EUG -- Mixed Use -- MU,MP EUG,Metro Plan (Eugene),Mixed Use,MU
2500.0,MP EUG -- Natural Resource -- N,MP EUG,Metro Plan (Eugene),Natural Resource,N
2600.0,MP EUG -- Parks and Open Space -- P,MP EUG,Metro Plan (Eugene),Parks and Open Space,P
2700.0,MP EUG -- Parks/OpenSpace Mixed Use -- B,MP EUG,Metro Plan (Eugene),Parks/OpenSpace Mixed Use,B
3000.0,MP EUG -- Special Heavy Industrial -- Y,MP EUG,Metro Plan (Eugene),Special Heavy Industrial,Y
3100.0,MP EUG -- University Research -- V,MP EUG,Metro Plan (Eugene),University Research,V
3200.0,LC -- AGRICULTURE -- A,LC,Lane County,AGRICULTURE,A
3300.0,LC -- AIRPORT -- AIR,LC,Lane County,AIRPORT,AIR
3400.0,LC -- COMMERCIAL -- C,LC,Lane County,COMMERCIAL,C
3500.0,LC -- FOREST -- F,LC,Lane County,FOREST,F
3600.0,LC -- INDUSTRIAL -- I,LC,Lane County,INDUSTRIAL,I
